start,end,duration_hours,duration_minutes
2019-05-06 21:20:00,2019-05-07 04:45:00,7.416666666666667,445.0
2019-05-07 04:50:00,2019-05-07 08:35:00,3.75,225.0
2019-05-07 08:40:00,2019-05-07 13:35:00,4.916666666666667,295.0
2019-05-07 13:40:00,2019-05-07 21:15:00,7.583333333333333,455.0
2019-05-07 21:30:00,2019-05-07 22:00:00,0.5,30.0
2019-05-07 22:20:00,2019-05-09 19:25:00,45.083333333333336,2705.0
2019-05-09 20:15:00,2019-05-09 20:55:00,0.6666666666666666,40.0
2019-05-09 21:25:00,2019-05-09 21:55:00,0.5,30.0
2019-05-09 22:00:00,2019-05-12 02:35:00,52.583333333333336,3155.0
2019-05-12 02:40:00,2019-05-13 04:20:00,25.666666666666668,1540.0
2019-06-04 20:45:00,2019-06-05 11:20:00,14.583333333333334,875.0
2019-06-05 11:25:00,2019-06-05 14:30:00,3.0833333333333335,185.0
2019-06-05 14:40:00,2019-06-05 16:10:00,1.5,90.0
2019-06-05 16:15:00,2019-06-05 20:10:00,3.9166666666666665,235.0
2019-06-05 20:15:00,2019-06-05 21:30:00,1.25,75.0
2019-06-05 21:35:00,2019-06-06 00:55:00,3.3333333333333335,200.0
2019-06-06 01:25:00,2019-06-06 02:15:00,0.8333333333333334,50.0
2019-06-06 02:30:00,2019-06-06 08:55:00,6.416666666666667,385.0
2019-06-06 09:45:00,2019-06-06 10:25:00,0.6666666666666666,40.0
2019-06-06 10:30:00,2019-06-06 11:50:00,1.3333333333333333,80.0
2019-06-06 11:55:00,2019-06-06 12:30:00,0.5833333333333334,35.0
2019-06-06 14:15:00,2019-06-06 15:40:00,1.4166666666666667,85.0
2019-06-06 15:45:00,2019-06-06 19:40:00,3.9166666666666665,235.0
2019-06-06 19:45:00,2019-06-07 01:20:00,5.583333333333333,335.0
2019-06-07 01:25:00,2019-06-07 08:15:00,6.833333333333333,410.0
2019-06-07 08:20:00,2019-06-07 10:10:00,1.8333333333333333,110.0
2019-06-07 11:00:00,2019-06-07 11:40:00,0.6666666666666666,40.0
2019-06-07 11:45:00,2019-06-07 19:10:00,7.416666666666667,445.0
2019-06-07 19:15:00,2019-06-08 15:55:00,20.666666666666668,1240.0
2019-06-08 16:00:00,2019-06-08 21:25:00,5.416666666666667,325.0
2019-06-08 21:30:00,2019-06-09 00:55:00,3.4166666666666665,205.0
2019-06-09 01:00:00,2019-06-09 09:50:00,8.833333333333334,530.0
2019-06-09 09:55:00,2019-06-09 12:25:00,2.5,150.0
2019-06-09 13:05:00,2019-06-09 13:45:00,0.6666666666666666,40.0
2019-06-09 14:00:00,2019-06-09 15:30:00,1.5,90.0
2019-06-09 15:35:00,2019-06-10 13:40:00,22.083333333333332,1325.0
2019-06-10 16:30:00,2019-06-10 23:45:00,7.25,435.0
2019-06-10 23:50:00,2019-06-11 01:55:00,2.0833333333333335,125.0
2019-06-11 02:00:00,2019-06-11 02:55:00,0.9166666666666666,55.0
2019-06-11 03:40:00,2019-06-11 05:35:00,1.9166666666666667,115.0
2019-06-11 06:15:00,2019-06-11 06:55:00,0.6666666666666666,40.0
2019-06-11 07:05:00,2019-06-11 22:00:00,14.916666666666666,895.0
2019-06-11 23:15:00,2019-06-12 03:20:00,4.083333333333333,245.0
2019-06-12 04:05:00,2019-06-14 22:55:00,66.83333333333333,4010.0
2019-06-14 23:00:00,2019-06-15 01:20:00,2.3333333333333335,140.0
2019-06-15 01:25:00,2019-06-15 02:45:00,1.3333333333333333,80.0
2019-06-15 02:50:00,2019-06-15 13:40:00,10.833333333333334,650.0
2019-06-15 15:35:00,2019-06-15 16:30:00,0.9166666666666666,55.0
2019-06-15 17:00:00,2019-06-15 21:05:00,4.083333333333333,245.0
