start,end,duration_minutes,cluster,n_points,avg_anomaly_score,top_variable_1,top_variable_1_zscore,top_variable_2,top_variable_2_zscore,top_variable_3,top_variable_3_zscore
2018-06-10 14:15:00,2018-06-10 15:10:00,55.0,2,4,-0.6501637965661845,Cyclone_Inlet_Gas_Temp,3.377790928317417,Cyclone_Gas_Outlet_Temp,2.376142408156049,Cyclone_Outlet_Gas_draft,2.2585471120558434
2018-06-25 12:00:00,2018-06-25 12:55:00,55.0,0,4,-0.6439575372810471,Cyclone_Outlet_Gas_draft,2.6199040443235435,Cyclone_cone_draft,2.5757847526787563,Cyclone_Inlet_Draft,2.3645755173180687
2018-08-05 00:05:00,2018-08-05 01:00:00,55.0,2,4,-0.603459846881568,Cyclone_Inlet_Gas_Temp,4.017365180287798,Cyclone_Material_Temp,2.0482998245296717,Cyclone_cone_draft,1.8057010347203974
2018-10-19 00:30:00,2018-10-19 01:25:00,55.0,2,6,-0.6159881681626024,Cyclone_Outlet_Gas_draft,3.1842402975921336,Cyclone_Inlet_Draft,2.890457116274229,Cyclone_cone_draft,2.5499327411132806
2020-05-02 00:35:00,2020-05-02 01:30:00,55.0,0,7,-0.6719050669329244,Cyclone_Outlet_Gas_draft,3.466374697901417,Cyclone_Inlet_Draft,3.2868687125864984,Cyclone_cone_draft,2.7936939551866926
2020-05-02 06:45:00,2020-05-02 07:40:00,55.0,2,5,-0.6150852869441654,Cyclone_Inlet_Draft,2.3403464392141986,Cyclone_Inlet_Gas_Temp,2.2653322223047936,Cyclone_Outlet_Gas_draft,2.0125662064857113
2020-02-20 17:40:00,2020-02-20 18:35:00,55.0,2,6,-0.6275344937281464,Cyclone_Inlet_Draft,3.4661826421028086,Cyclone_Outlet_Gas_draft,2.8418673326635226,Cyclone_Inlet_Gas_Temp,2.2757288436050103
2018-04-25 17:15:00,2018-04-25 18:10:00,55.0,3,4,-0.6452080645934358,Cyclone_Outlet_Gas_draft,2.5036501258211605,Cyclone_Inlet_Draft,2.3815551861320037,Cyclone_cone_draft,2.348918996728055
2019-08-31 04:40:00,2019-08-31 05:35:00,55.0,3,9,-0.6502118179372923,Cyclone_Inlet_Draft,3.0387340103524676,Cyclone_Outlet_Gas_draft,2.844952406378148,Cyclone_cone_draft,2.5521774222922673
2019-02-25 15:30:00,2019-02-25 16:20:00,50.0,0,5,-0.670782071043268,Cyclone_Inlet_Draft,4.017402660066776,Cyclone_Outlet_Gas_draft,3.8104905696314213,Cyclone_cone_draft,3.2058003341666317
2019-02-19 00:05:00,2019-02-19 00:55:00,50.0,2,4,-0.6149194850396505,Cyclone_Inlet_Gas_Temp,3.3342019810373356,Cyclone_Inlet_Draft,2.153897948496389,Cyclone_Outlet_Gas_draft,1.9341916638221113
2019-04-21 08:40:00,2019-04-21 09:30:00,50.0,2,5,-0.6627727066252204,Cyclone_Inlet_Gas_Temp,3.4036206664504447,Cyclone_cone_draft,2.9558742741075528,Cyclone_Inlet_Draft,2.657187540360255
2017-06-14 06:15:00,2017-06-14 07:05:00,50.0,2,5,-0.6740920602518587,Cyclone_Inlet_Gas_Temp,4.170624323462367,Cyclone_Outlet_Gas_draft,3.9074898465739465,Cyclone_Inlet_Draft,3.5846575596966574
